Job Title,Experience Level,Salary,Employee Residence,Company Size,Year
Data Analyst,2,72000,0,1,2023
Data Engineer,2,141000,0,1,2023
Data Scientist,2,240000,0,0,2023
Data Scientist,2,142000,0,0,2023
Data Analyst,0,80000,0,1,2023
Machine Learning Engineer,2,268000,0,1,2023
Machine Learning Engineer,2,180000,0,1,2023
Analytics Engineer,1,144628,0,1,2023
Analytics Engineer,1,115702,0,1,2023
Data Analyst,2,144000,0,1,2023
Data Analyst,2,93500,0,1,2023
Data Engineer,2,208200,0,1,2023
Data Engineer,2,151200,0,1,2023
Data Scientist,2,270000,0,1,2023
Data Scientist,2,220000,0,1,2023
Data Engineer,3,194500,0,1,2023
Data Engineer,3,115500,0,1,2023
Data Analyst,0,50000,0,1,2023
Data Analyst,0,40000,0,1,2023
Machine Learning Engineer,2,155000,0,1,2023
Machine Learning Engineer,2,100000,0,1,2023
Data Analyst,2,65000,0,1,2023
Data Architect,2,280100,0,1,2023
Data Architect,2,168100,0,1,2023
Machine Learning Scientist,2,120000,0,1,2023
Data Engineer,2,149040,0,1,2023
Data Engineer,2,113900,0,1,2023
Machine Learning Scientist,2,165000,0,1,2023
Machine Learning Scientist,2,145000,0,1,2023
Data Architect,2,274450,0,1,2023
Data Architect,2,199600,0,1,2023
Data Engineer,1,83500,0,1,2023
Data Engineer,1,52500,0,1,2023
Data Architect,2,306000,0,1,2023
Data Architect,2,204000,0,1,2023
Data Analyst,2,136000,0,1,2023
Data Analyst,2,104000,0,1,2023
Data Engineer,2,81500,0,1,2023
Data Scientist,3,250000,0,1,2023
Data Scientist,3,180000,0,1,2023
Data Engineer,1,70000,0,1,2023
