job_title,experience_level,Salary,company_location,company_size,Year,over_100K,over_150K
Other,2,70000,United States,1,2023,0,0
Machine Learning Engineer,2,212800,United States,1,2023,1,1
Machine Learning Engineer,2,144800,United States,1,2023,1,0
Data Analyst,1,250000,United States,1,2023,1,1
Data Engineer,2,172900,United States,1,2023,1,1
Data Engineer,2,144100,United States,1,2023,1,0
Data Scientist,2,230000,United States,1,2023,1,1
Other,2,160000,United States,1,2023,1,1
Other,2,135000,United States,1,2023,1,0
Data Analyst,2,101500,United States,1,2023,1,0
Data Analyst,2,83700,United States,1,2023,0,0
Data Scientist,2,253430,United States,1,2023,1,1
Other,2,202800,United States,2,2023,1,1
Other,2,104300,United States,2,2023,1,0
Data Scientist,2,283000,United States,1,2023,1,1
Data Scientist,2,184000,United States,1,2023,1,1
Data Scientist,3,220000,United States,1,2023,1,1
Data Scientist,3,185000,United States,1,2023,1,1
Data Engineer,2,260000,United States,1,2023,1,1
Other,2,246500,United States,1,2023,1,1
Other,2,133500,United States,1,2023,1,0
Data Scientist,2,174000,United States,1,2023,1,1
Data Scientist,2,134000,United States,1,2023,1,0
Other,3,330000,United States,1,2023,1,1
Other,3,230000,United States,1,2023,1,1
Data Engineer,2,254000,United States,1,2023,1,1
Machine Learning Engineer,2,218540,United States,1,2023,1,1
Other,1,167000,United States,1,2023,1,1
Other,1,109000,United States,1,2023,1,0
Data Engineer,2,208000,United States,1,2023,1,1
Data Engineer,2,193000,United States,1,2023,1,1
Other,2,216000,United States,1,2023,1,1
Other,2,184000,United States,1,2023,1,1
Machine Learning Engineer,2,145000,United States,1,2023,1,0
Machine Learning Engineer,2,284000,United States,1,2023,1,1
Machine Learning Engineer,2,227000,United States,1,2023,1,1
Research Scientist,2,205000,United States,1,2023,1,1
Research Scientist,2,160000,United States,1,2023,1,1
Machine Learning Engineer,2,191400,United States,1,2023,1,1
Machine Learning Engineer,2,127600,United States,1,2023,1,0
Machine Learning Engineer,2,230000,United States,1,2023,1,1
Data Analyst,2,139600,United States,1,2023,1,0
Data Analyst,2,85700,United States,1,2023,0,0
Other,1,95000,United States,1,2023,0,0
Other,1,70000,United States,1,2023,0,0
Data Engineer,1,258000,United States,1,2023,1,1
Data Engineer,1,171000,United States,1,2023,1,1
Other,3,300000,United States,2,2020,1,1
Data Engineer,2,232960,United States,1,2023,1,1
Data Engineer,2,151840,United States,1,2023,1,1
Data Engineer,2,163152,United States,1,2023,1,1
Data Engineer,2,108768,United States,1,2023,1,0
Other,2,370000,United States,1,2023,1,1
Other,2,245000,United States,1,2023,1,1
Machine Learning Engineer,2,285000,United States,1,2023,1,1
Machine Learning Engineer,2,193900,United States,1,2023,1,1
Research Scientist,2,240000,United States,1,2023,1,1
Research Scientist,2,163200,United States,1,2023,1,1
Machine Learning Engineer,2,240000,United States,1,2023,1,1
Machine Learning Engineer,2,163200,United States,1,2023,1,1
Research Scientist,2,345000,United States,1,2023,1,1
Research Scientist,2,234700,United States,1,2023,1,1
Data Engineer,2,241000,United States,1,2023,1,1
Other,2,210000,United States,2,2023,1,1
Analytics Engineer,2,90000,United States,1,2023,0,0
Analytics Engineer,2,84000,United States,1,2023,0,0
Analytics Engineer,2,221300,United States,1,2023,1,1
Analytics Engineer,2,147500,United States,1,2023,1,0
Machine Learning Engineer,2,210000,United States,1,2023,1,1
Machine Learning Engineer,2,160000,United States,1,2023,1,1
Analytics Engineer,2,192000,United States,1,2023,1,1
Analytics Engineer,2,151000,United States,1,2023,1,1
Data Scientist,2,169000,United States,1,2023,1,1
Data Engineer,2,204500,United States,1,2023,1,1
Data Engineer,2,142200,United States,1,2023,1,0
Data Engineer,2,250000,United States,1,2023,1,1
Other,2,210000,United States,1,2023,1,1
Other,2,170000,United States,1,2023,1,1
Data Scientist,2,189750,United States,1,2023,1,1
Data Scientist,2,131100,United States,1,2023,1,0
